Ticker,Time,Price
XXBTZEUR,17/11/2020 14:13:46,14336.20000
XXBTZEUR,17/11/2020 14:18:07,14360.60000
XXBTZEUR,17/11/2020 14:18:12,14360.50000
XXBTZEUR,17/11/2020 14:42:30,14432.50000
XXBTZEUR,17/11/2020 14:42:36,14432.50000
XXBTZEUR,17/11/2020 14:42:41,14430.10000
XXBTZEUR,17/11/2020 14:42:47,14430.10000
XXBTZEUR,17/11/2020 14:42:52,14430.00000
XXBTZEUR,18/11/2020 08:54:18,15343.20000
XXBTZEUR,18/11/2020 08:54:29,15343.20000
XXBTZEUR,18/11/2020 08:54:39,15343.20000
XXBTZEUR,18/11/2020 08:54:48,15343.20000
XXBTZEUR,18/11/2020 08:54:58,15336.10000
XXBTZEUR,18/11/2020 08:55:09,15335.00000
XXBTZEUR,18/11/2020 08:55:19,15335.30000
XXBTZEUR,18/11/2020 08:55:29,15336.00000
XXBTZEUR,18/11/2020 08:55:40,15336.00000
XXBTZEUR,18/11/2020 08:55:50,15339.90000
XXBTZEUR,18/11/2020 09:11:27,15196.50000
